Family,Genus,Species,Infraspecific rank,Infraspecific epithet,Authorship_edit,edited
Leguminosae,Lathyrus,nevadensis,var.,pilosellus,(M. Peck) C.L. Hitchc. & Ownbey,(M. Peck) C.L. Hitchc. & Ownbey
Leguminosae,Lathyrus,nevadensis,var.,stipulaceus,(T.G. White) H. St. John,(T.G. White) H. St. John
Crassulaceae,Sedum,nevii,var.,beyrichianum,(Mast.) Praeger,(Mast.) Praeger
Leguminosae,Astragalus,newberryi,var.,blyae,(Rydb.) Barneby,(Rydb.) Barneby
Plantaginaceae,Penstemon,newberryi,var.,berryi,(Eastw.) N.H. Holmgren,(Eastw.) N.H. Holmgren
Orchidaceae,Pterygodium,newdigatae,var.,cleistogamum,Bolus,Bolus
Poaceae,Hyparrhenia,niariensis,var.,macrarrhena,(Hack.) Clayton,(Hack.) Clayton
Euphorbiaceae,Euphorbia,nicaeensis,var.,hispanica,(Degen & Hervier) Cuatrec.,(Degen & Hervier) Cuatrec.
Leguminosae,Chamaecrista,nictitans,var.,aspera,(Elliott) Torr. & A.Gray,(Elliott) Torr. & A.Gray
Leguminosae,Chamaecrista,nictitans,var.,diffusa,(DC.) H.S. Irwin & Barneby,(DC.) H.S. Irwin & Barneby
Leguminosae,Chamaecrista,nictitans,var.,glabrata,(Vogel) H.S. Irwin & Barneby,(Vogel) H.S. Irwin & Barneby
Leguminosae,Chamaecrista,nictitans,var.,jaliscensis,(Greenm.) H.S. Irwin & Barneby,(Greenm.) H.S. Irwin & Barneby
Leguminosae,Chamaecrista,nictitans,var.,mensalis,(Greenm.) H.S.Irwin & Barneby,(Greenm.) H.S.Irwin & Barneby
Leguminosae,Chamaecrista,nictitans,var.,pilosa,(Benth.) H.S. Irwin & Barneby,(Benth.) H.S. Irwin & Barneby
Leguminosae,Chamaecrista,nictitans,var.,praetexta,(Vogel) H.S. Irwin & Barneby,(Vogel) H.S. Irwin & Barneby
Saxifragaceae,Saxifraga,nidifica,var.,claytoniifolia,(Canby ex Small) Elvander,(Canby ex Small) Elvander
Oxalidaceae,Oxalis,nidulans,var.,denticulata,T.M. Salter,T.M. Salter
Compositae,Cotula,nigellifolia,var.,tenuior,(DC.) P.P.J.Herman,(DC.) P.P.J.Herman
Bromeliaceae,Pitcairnia,nigra,var.,pulchella,(Mez) H.Luther,(Mez) H.Luther
Poaceae,Phyllostachys,nigra,var.,henonis,(Mitford) Rendle,(Mitford) Rendle
Rubiaceae,Psychotria,nigra,var.,peninsularis,(Hook.f.) Deb & M.G.Gangop.,(Hook.f.) Deb & M.G.Gangop.
Salicaceae,Populus,nigra,var.,italica,Mnchh.,Mnchh.
Xanthorrhoeaceae,Haworthia,nigra,var.,diversifolia,(Poelln.) Uitewaal,(Poelln.) Uitewaal
Caryophyllaceae,Cerastium,nigrescens,var.,laxum,(Lindblom) Brysting & Elven,(Lindblom) Brysting & Elven
Compositae,Psiadia,nigrescens,var.,ciliata,(Humbert) Humbert,(Humbert) Humbert
Compositae,Psiadia,nigrescens,var.,latifolia,(Humbert) Humbert,(Humbert) Humbert
Leguminosae,Oxytropis,nigrescens,var.,uniflora,(Hook.) Barneby,(Hook.) Barneby
Melastomataceae,Gravesia,nigrescens,var.,hirtella,(Cogn.) Cogn.,(Cogn.) Cogn.
Salicaceae,Casearia,nigrescens,var.,lucida,(Tul.) Sleumer,(Tul.) Sleumer
Cactaceae,Lobivia,nigricans,var.,peterseimii,(Fri?) Rausch,(Fri?) Rausch
Caryophyllaceae,Arenaria,nigricans,var.,zhengkangensis,(C.Y.Wu ex L.H.Zhou) C.Y.Wu,(C.Y.Wu ex L.H.Zhou) C.Y.Wu
Combretaceae,Combretum,nigricans,var.,elliotii,(Engl. & Diels) Aubrv.,(Engl. & Diels) Aubrv.
Rubiaceae,Stenaria,nigricans,var.,floridana,(Standl.) Terrell,(Standl.) Terrell
Rubiaceae,Stenaria,nigricans,var.,gypsophila,(B.L.Turner) Terrell,(B.L.Turner) Terrell
Athyriaceae,Athyrium,nigripes,var.,tenuifrons,(Wall. ex Sim) Bedd.,(Wall. ex Sim) Bedd.
Commelinaceae,Commelina,nigritana,var.,gambiae,(C.B.Clarke) Brenan,(C.B.Clarke) Brenan
Araceae,Arisaema,nikoense,var.,australe,M.Hotta,M.Hotta
Compositae,Saussurea,nikoensis,var.,sessiliflora,(Koidz.) Kitam.,(Koidz.) Kitam.
Rosaceae,Fragaria,nilgerrensis,var.,mairei,(H.Lv.) Hand.-Mazz.,(H.Lv.) Hand.-Mazz.
Rubiaceae,Psychotria,nilgiriensis,var.,astephana,Deb & M.G.Gangop.,Deb & M.G.Gangop.
Apocynaceae,Ceropegia,nilotica,var.,simplex,H.Huber,H.Huber
Leguminosae,Acacia,nilotica,var.,adansoniana,(Dubard) A.F. Hill,(Dubard) A.F. Hill
