Family,Genus,Species,Infraspecific rank,Infraspecific epithet,Authorship_edit,edited
Cyperaceae,Carex,ludibunda,,,J.Gay,J.Gay
Onagraceae,Epilobium,ludmilae,,,Chemeris & A.A.Bobrov,Chemeris & A.A.Bobrov
Xanthorrhoeaceae,Eremurus,ludmillae,,,Levichev & Priszter,Levichev & Priszter
Fagaceae,Quercus,ludoviciana,,,Sarg.,Sarg.
Juglandaceae,Carya,ludoviciana,,,(Ashe) Little,(Ashe) Little
Ranunculaceae,Actaea,ludovicii,,,B.Boivin,B.Boivin
Lamiaceae,Galeopsis,ludwigii,,,Hausskn.,Hausskn.
Orchidaceae,Platanthera,lueri,,,P.M.Br.,P.M.Br.
Orchidaceae,Oncidium,lueroroides,,,M.W.Chase & N.H.Williams,M.W.Chase & N.H.Williams
Dryopteridaceae,Polystichum,luerssenii,,,Hahne,Hahne
Orchidaceae,Ophrys,luizetii,,,E.G.Camus,E.G.Camus
Alismataceae,Sagittaria,lunata,,,C.D.Preston & Uotila,C.D.Preston & Uotila
Polygonaceae,Coccoloba,lundellii,,,Standl.,Standl.
Orchidaceae,Ophrys,lupiae,,,O.Danesch & E.Danesch,O.Danesch & E.Danesch
Orchidaceae,Serapias,lupiensis,,,Medagli & al.,Medagli & al.
Orchidaceae,Paphiopedilum,lushuiense,,,Z.J.Liu & S.C.Chen,Z.J.Liu & S.C.Chen
Crassulaceae,Rosularia,lutea,,,Boriss.,Boriss.
Cyperaceae,Carex,luteola,,,(Rchb.) Sendtn.,(Rchb.) Sendtn.
Compositae,Solidago,lutescens,,,(Lindl. ex DC.) B.Boivin,(Lindl. ex DC.) B.Boivin
Violaceae,Viola,lutzii,,,E.G.Camus,E.G.Camus
Pinaceae,Picea,lutzii,,,Little,Little
Compositae,Helianthus,luxurians,,,(E.Watson) E.Watson,(E.Watson) E.Watson
Bromeliaceae,Tillandsia,lydiae,,,Ehlers,Ehlers
Compositae,Aster,maccallae,,,Rydb. (pro sp.),Rydb. (pro sp.)
Orchidaceae,Ophrys,macchiatii,,,E.G.Camus,E.G.Camus
Fagaceae,Quercus,maccormickii,,,Carruth.,Carruth.
Fagaceae,Quercus,maccormickoserrata,,,T.B.Lee,T.B.Lee
Compositae,Liatris,macdanieliana,,,J.R.Allison,J.R.Allison
Fagaceae,Quercus,macdonaldii,,,Greene & Kellogg,Greene & Kellogg
Orchidaceae,Catasetum,macedoi,,,Campacci & G.F.Carr,Campacci & G.F.Carr
Plantaginaceae,Digitalis,macedonica,,,Heywood,Heywood
Cyperaceae,Carex,macilenta,,,F.Nyl.,F.Nyl.
Euphorbiaceae,Euphorbia,macinensis,,,Prodn,Prodn
Equisetaceae,Equisetum,mackaii,,,(Newman) Brichan,(Newman) Brichan
Orchidaceae,Thelymitra,mackibbinii,,,F.Muell.,F.Muell.
Orchidaceae,Thelymitra,macmillanii,,,F.Muell.,F.Muell.
Fagaceae,Quercus,macnabiana,,,Sudw.,Sudw.
Cyperaceae,Carex,macounii,,,Dewey,Dewey
Cyperaceae,Eleocharis,macounii,,,Fernald,Fernald
Orchidaceae,Orchis,macra,,,Lindl.,Lindl.
Rosaceae,Exochorda,macrantha,,,(Lemoine) C.K.Schneid.,(Lemoine) C.K.Schneid.
Compositae,Hieracium,macranthelum,,,Ngeli & Peter,Ngeli & Peter
Rosaceae,Geum,macranthum,,,(Kearney ex Rydb.) B.Boivin,(Kearney ex Rydb.) B.Boivin
Rosaceae,Crataegus,macrocarpa,,,Hegetschw.,Hegetschw.
Araceae,Anthurium,macrolobium,,,hort. ex W. Bull,hort. ex W. Bull
Salicaceae,Salix,macrophylla,,,A.Kern.,A.Kern.
Ranunculaceae,Delphinium,macrophyllum,,,Wooton,Wooton
Rosaceae,Spiraea,macrothyrsa,,,Dippel,Dippel
Compositae,Hieracium,macrotrichum,,,Boiss.,Boiss.
Orchidaceae,Disa,maculomarronina,,,McMurtry,McMurtry
Potamogetonaceae,Potamogeton,maemetsiae,,,Zalewska-Ga?. & Ronikier,Zalewska-Ga?. & Ronikier
Lamiaceae,Teucrium,maestracense,,,M.B.Crespo & Mateo,M.B.Crespo & Mateo
Poaceae,Poa,magadanensis,,,Prob.,Prob.
Poaceae,Cynodon,magennisii,,,Hurcombe,Hurcombe
Amaryllidaceae,Narcissus,maginae,,,Fern.Casas & Susanna,Fern.Casas & Susanna
Compositae,Wyethia,magna,,,A.Nelson,A.Nelson
Amaryllidaceae,Narcissus,magnenii,,,Rouy,Rouy
Cyperaceae,Carex,mainensis,,,Porter ex Britton,Porter ex Britton
Orchidaceae,Arachnis,maingayi,,,(Hook.f.) Schltr.,(Hook.f.) Schltr.
Fagaceae,Quercus,major,,,Nakai,Nakai
Lamiaceae,Origanum,majoricum,,,Cambess.,Cambess.
Rosaceae,Rosa,makinoana,,,H.Ohba,H.Ohba
Gesneriaceae,Cyrtandra,malacophylla,,,C.B.Clarke,C.B.Clarke
Orchidaceae,Ophrys,maladroxiensis,,,"Scrugli, Todde & Cogoni","Scrugli, Todde & Cogoni"
Potamogetonaceae,Potamogeton,malainoides,,,Miki,Miki
Euphorbiaceae,Acalypha,malawiensis,,,Radcl.-Sm.,Radcl.-Sm.
Theaceae,Camellia,maliflora,,,Lindl.,Lindl.
Rosaceae,Crataegus,maligna,,,Sarg.,Sarg.
Orchidaceae,Comparettia,maloi,,,I.Bock,I.Bock
Poaceae,Elymus,maltei,,,Bowden,Bowden
Oleaceae,Forsythia,mandschurica,,,Uyeki,Uyeki
Orchidaceae,Ophrys,manfredoniae,,,O.Danesch & E.Danesch,O.Danesch & E.Danesch
Clusiaceae,Garcinia,mangostana,,,L.,L.
Fagaceae,Quercus,mannifera,,,Lindl.,Lindl.
Gesneriaceae,Cyrtandra,mannii,,,H.St.John & Storey,H.St.John & Storey
Compositae,Pterocypsela,mansuensis,,,(Hayata) C.I Peng,(Hayata) C.I Peng
Heliconiaceae,Heliconia,mantenensis,,,"B.R.Silva, Senna V. & Emygdio","B.R.Silva, Senna V. & Emygdio"
Compositae,Ligularia,maoniushanensis,,,X. Gong & Y.Z. Pan,X. Gong & Y.Z. Pan
Gentianaceae,Gentiana,marcailhouana,,,Rouy,Rouy
Lamiaceae,Sideritis,marcelii,,,Elias & Sennen,Elias & Sennen
Gentianaceae,Gentiana,marceli-jouseaui,,,Halda,Halda
Bromeliaceae,Tillandsia,marceloi,,,Takiz. & Koide,Takiz. & Koide
Crassulaceae,Crassula,marchandii,,,Friedrich,Friedrich
Rosaceae,Rosa,marcyana,,,Boullu,Boullu
Orchidaceae,Ophrys,maremmae,,,O.Danesch & E.Danesch,O.Danesch & E.Danesch
Lamiaceae,Phlomis,margaritae,,,Aparicio & Silvestre,Aparicio & Silvestre
Rosaceae,Spiraea,margaritae,,,Zabel,Zabel
Rosaceae,Rosa,margerisonii,,,(Wolley-Dod) Wolley-Dod,(Wolley-Dod) Wolley-Dod
Ericaceae,Dracophyllum,marginatum,,,W.R.B.Oliv.,W.R.B.Oliv.
Rosaceae,Rosa,mariaegraebneriae,,,Asch. & Graebn.,Asch. & Graebn.
Potamogetonaceae,Potamogeton,mariensis,,,Papch.,Papch.
Elaeagnaceae,Elaeagnus,maritima,,,Koidz.,Koidz.
Pinaceae,Larix,maritima,,,Sukaczev,Sukaczev
Orchidaceae,Ophrys,marmarensis,,,H.Baumann & Knkele,H.Baumann & Knkele
Aizoaceae,Conophytum,marnierianum,,,Tischer & H.Jacobsen,Tischer & H.Jacobsen
Primulaceae,Androsace,marpensis,,,G.F.Sm.,G.F.Sm.
Phyllanthaceae,Glochidion,marquesanum,,,(F.Br.) Croizat,(F.Br.) Croizat
Euphorbiaceae,Euphorbia,marreroi,,,Molero & Rovira,Molero & Rovira
Orchidaceae,Oncidium,marriottianum,,,(Rchb.f.) M.W.Chase & N.H.Williams,(Rchb.f.) M.W.Chase & N.H.Williams
Myrtaceae,Eucalyptus,marsdenii,,,C.C.Hall,C.C.Hall
Cyperaceae,Carex,marshallii,,,A.Benn.,A.Benn.
Poaceae,Alopecurus,marssonii,,,Hausskn.,Hausskn.
Lamiaceae,Thymus,martinezii,,,Pau,Pau
Euphorbiaceae,Euphorbia,martini,,,Rouy,Rouy
Sapindaceae,Acer,martini,,,Jord.,Jord.
Amaryllidaceae,Narcissus,martinoae,,,Nava & Fern.Casado,Nava & Fern.Casado
Ranunculaceae,Aquilegia,maruyamana,,,Kitam.,Kitam.
Orchidaceae,Trichocentrum,marvraganii,,,(Lckel) M.W.Chase & N.H.Williams,(Lckel) M.W.Chase & N.H.Williams
Sapindaceae,Aesculus,marylandica,,,Booth ex Dippel,Booth ex Dippel
Crassulaceae,Aeonium,mascaense,,,Bramwell,Bramwell
Compositae,Hieracium,maschukense,,,Litv. & Zahn,Litv. & Zahn
Lamiaceae,Sideritis,masferreri,,,Font Quer,Font Quer
Asparagaceae,Hyacinthoides,massartiana,,,Geerinck,Geerinck
Cyperaceae,Carex,massonii,,,Cay. & Lepage,Cay. & Lepage
Lamiaceae,Thymus,mastichinalis,,,Snchez-Gmez & F.Sez,Snchez-Gmez & F.Sez
Arecaceae,Syagrus,matafome,,,(Bondar) A.D.Hawkes,(Bondar) A.D.Hawkes
Lamiaceae,Teucrium,mateoi,,,"Solanas, M.B.Crespo & De la Torre","Solanas, M.B.Crespo & De la Torre"
Cistaceae,Cistus,matritensis,,,Carazo Roman & Jimnez Alb.,Carazo Roman & Jimnez Alb.
Salicaceae,Salix,matsumurae,,,Seemen,Seemen
Orchidaceae,Paphiopedilum,mattesii,,,Pittenauer ex Roeth & O.Gruss,Pittenauer ex Roeth & O.Gruss
Asparagaceae,Cordyline,matthewsii,,,Carse,Carse
Compositae,Olearia,matthewsii,,,Heenan,Heenan
Gesneriaceae,Nematanthus,mattosianus,,,(Handro) H.E. Moore,(Handro) H.E. Moore
Brassicaceae,Lesquerella,maxima,,,(Rollins) Rollins,(Rollins) Rollins
Lamiaceae,Mentha,maximilianea,,,F.W.Schultz,F.W.Schultz
Orchidaceae,Cephalanthera,mayeri,,,(E.Mayer & Zimmerm.) A.Camus,(E.Mayer & Zimmerm.) A.Camus
Compositae,Sonchus,maynari,,,Svent.,Svent.
Betulaceae,Alnus,mayrii,,,Callier,Callier
Orchidaceae,Ophrys,mazzolana,,,"Falci, S.A.Giardina & Serio","Falci, S.A.Giardina & Serio"
Orchidaceae,Cattleya,measuresii,,,Rchb.f.,Rchb.f.
Ericaceae,Arctostaphylos,media,,,Greene,Greene
Gentianaceae,Gentiana,media,,,Arv.-Touv.,Arv.-Touv.
Juncaceae,Luzula,media,,,Kirschner,Kirschner
Ranunculaceae,Anemone,media,,,(Simonk.) Krpti,(Simonk.) Krpti
Rosaceae,Crataegus,media,,,Bechst.,Bechst.
Cupressaceae,Juniperus,media,,,V.D. Dmitriev,V.D. Dmitriev
Lamiaceae,Monarda,medioides,,,W.H.Duncan,W.H.Duncan
Amaryllidaceae,Narcissus,medioluteus,,,Mill.,Mill.
Cyperaceae,Eriophorum,medium,,,Andersson,Andersson
Hypericaceae,Hypericum,medium,,,Peterm.,Peterm.
Fagaceae,Quercus,megaleia,,,Laughlin,Laughlin
Orchidaceae,Dactylorhiza,megapolitana,,,(Bisse) So,(Bisse) So
Rosaceae,Sorbus,meinichii,,,(Lindeb. ex Hartm.) Hedl.,(Lindeb. ex Hartm.) Hedl.
Caryophyllaceae,Dianthus,melandrioides,,,Pau,Pau
Lamiaceae,Phlomis,melitenensis,,,Hub.-Mor.,Hub.-Mor.
Fagaceae,Quercus,mellichampii,,,Trel.,Trel.
Compositae,Packera,memmingeri,,,(Britton ex Small) Weakley,(Britton ex Small) Weakley
Xanthorrhoeaceae,Aloe,menachensis,,,(Schweinf.) Blatt.,(Schweinf.) Blatt.
Amaranthaceae,Chenopodium,mendelii,,,F.Dvo?k,F.Dvo?k
Orchidaceae,Lepanthes,mendiatae,,,Archila,Archila
Cyperaceae,Carex,mendica,,,Lepage,Lepage
Lamiaceae,Rosmarinus,mendizabalii,,,Sagredo ex Rosua,Sagredo ex Rosua
Rhamnaceae,Ceanothus,mendocinensis,,,McMinn,McMinn
Orchidaceae,Anacamptis,menosii,,,"(C.Bernard & G.Fabre) H.Kretzschmar, Eccarius & H.Dietr.","(C.Bernard & G.Fabre) H.Kretzschmar, Eccarius & H.Dietr."
Onagraceae,Circaea,mentiens,,,Boufford,Boufford
Lamiaceae,Thymus,mercadalii,,,Mateo & Pisco,Mateo & Pisco
Crassulaceae,Aeonium,meridionale,,,Baares,Baares
Orchidaceae,Serapias,meridionalis,,,E.G.Camus,E.G.Camus
Orchidaceae,Phragmipedium,merinoi,,,O.Gruss,O.Gruss
Cyperaceae,Cyperus,mesochorus,,,Geise,Geise
Orchidaceae,Cattleya,mesquitae,,,L.C.Menezes,L.C.Menezes
Lamiaceae,Micromeria,meteorica,,,Hausskn.,Hausskn.
Orchidaceae,Ophrys,methonensis,,,H.Baumann & Knkele,H.Baumann & Knkele
Orchidaceae,Dactylorhiza,metsowonensis,,,B.Baumann & H.Baumann,B.Baumann & H.Baumann
Salicaceae,Salix,meyeriana,,,Rostk. ex Willd.,Rostk. ex Willd.
Orchidaceae,Lycaste,michelii,,,Oakeley,Oakeley
Brassicaceae,Draba,microcarpa,,,(Trautv.) O.E.Schulz,(Trautv.) O.E.Schulz
Apiaceae,Eryngium,microcephalum,,,Sieber,Sieber
Asparagaceae,Ruscus,microglossus,,,Bertol.,Bertol.
Rosaceae,Spiraea,micropetala,,,Zabel,Zabel
Cyperaceae,Carex,microstachya,,,Ehrh.,Ehrh.
Salicaceae,Salix,microstemon,,,Kimura,Kimura
Cyperaceae,Carex,microstyla,,,J.Gay ex Gaudin,J.Gay ex Gaudin
Rosaceae,Spiraea,microthyrsa,,,Zabel,Zabel
Arecaceae,Attalea,minarum,,,"(Balick, A.B.Anderson & Med.-Costa) Zona","(Balick, A.B.Anderson & Med.-Costa) Zona"
Lamiaceae,Scutellaria,minkwitziae,,,Juz.,Juz.
Lamiaceae,Origanum,minoanum,,,P.H.Davis,P.H.Davis
Nyctaginaceae,Abronia,minor,,,Standl.,Standl.
Urticaceae,Boehmeria,minor,,,Satake,Satake
Orchidaceae,Ophrys,minuticauda,,,Duffort,Duffort
Compositae,Tragopogon,mirabile,,,Rouy,Rouy
Orchidaceae,Cynorkis,mirabile,,,Hermans & P.J.Cribb,Hermans & P.J.Cribb
Potamogetonaceae,Potamogeton,mirabilis,,,"Z.Kaplan, Hellq. & Fehrer","Z.Kaplan, Hellq. & Fehrer"
Myrtaceae,Mosiera,miraflorensis,,,(Borhidi & O.Muiz) Borhidi,(Borhidi & O.Muiz) Borhidi
Magnoliaceae,Magnolia,mirifolia,,,"(D.L.Fu, T.B.Chao & Zhi X.Chen) Noot.","(D.L.Fu, T.B.Chao & Zhi X.Chen) Noot."
Plantaginaceae,Penstemon,mirus,,,A. Nelson,A. Nelson
Poaceae,Festuca,miscella,,,Darbysh.,Darbysh.
Orchidaceae,Corybas,miscellus,,,D.L.Jones,D.L.Jones
Myrtaceae,Eucalyptus,missilis,,,Brooker & Hopper,Brooker & Hopper
Sarraceniaceae,Sarracenia,mitchelliana,,,G. Nicholson,G. Nicholson
Hypericaceae,Hypericum,mitchellianum,,,Rydb.,Rydb.
Cyperaceae,Carex,mithala,,,Callier,Callier
Brassicaceae,Draba,mixta,,,O.E.Schulz,O.E.Schulz
Lamiaceae,Ajuga,mixta,,,Makino,Makino
Orchidaceae,Cattleya,mixta,,,L.C.Menezes,L.C.Menezes
Orchidaceae,Hemipilia,mixta,,,Ormerod,Ormerod
Orchidaceae,Platanthera,mixta,,,Efimov,Efimov
Poaceae,Koeleria,mixta,,,Domin,Domin
Poaceae,Puccinellia,mixta,,,Holmb.,Holmb.
Rosaceae,Potentilla,mixta,,,Nolte ex Rchb.,Nolte ex Rchb.
Compositae,Arctium,mixtum,,,(Simonk.) Nyman,(Simonk.) Nyman
Lamiaceae,Clinopodium,mixtum,,,(Ausserd. ex Heinr.Braun & Sennholz) Starm.,(Ausserd. ex Heinr.Braun & Sennholz) Starm.
Compositae,Carduus,mixtus,,,Corb.,Corb.
Lamiaceae,Thymus,mixtus,,,Pau,Pau
Melanthiaceae,Trillium,miyabeanum,,,Tatew. ex J.Samej.,Tatew. ex J.Samej.
Lamiaceae,Phlomis,mobullensis,,,Hub.-Mor.,Hub.-Mor.
Boraginaceae,Cynoglossum,modorense,,,Rech.,Rech.
Orchidaceae,Cattleya,moduloi,,,L.C.Menezes,L.C.Menezes
Verbenaceae,Verbena,moechina,,,Moldenke,Moldenke
Apiaceae,Eryngium,mohamedanii,,,Font Quer & Pau,Font Quer & Pau
Rosaceae,Rosa,molletorum,,,Hesl.-Harr.,Hesl.-Harr.
Rosaceae,Rosa,molliformis,,,Wolley-Dod,Wolley-Dod
Compositae,Celmisia,mollis,,,Cockayne,Cockayne
Escalloniaceae,Escallonia,mollis,,,Phil.,Phil.
Rubiaceae,Coprosma,molokaiensis,,,H.St.John,H.St.John
Cactaceae,Turbinicarpus,mombergeri,,,Riha,Riha
Rosaceae,Rosa,momiyamae,,,H.Ohba,H.Ohba
Orchidaceae,Cyrtochilum,monacranthum,,,(Andreetta ex Dodson) J.M.H.Shaw,(Andreetta ex Dodson) J.M.H.Shaw
Dioscoreaceae,Dioscorea,monandra,,,Hauman,Hauman
Compositae,Centaurea,moncktonii,,,C.E. Britton,C.E. Britton
Fagaceae,Quercus,mongolicodentata,,,Nakai,Nakai
Orchidaceae,Sudamerlycaste,monopampanensis,,,(Oakeley) Archila,(Oakeley) Archila
Lamiaceae,Thymus,monrealensis,,,Pau ex R.Morales,Pau ex R.Morales
Menyanthaceae,Nymphoides,montana,,,Aston,Aston
Myrtaceae,Eucalyptus,montana,,,(H.Deane & Maiden) Blakely,(H.Deane & Maiden) Blakely
Onagraceae,Epilobium,montaniforme,,,K.Knaf ex ?elak.,K.Knaf ex ?elak.
Juncaceae,Juncus,montellii,,,Vierh.,Vierh.
Orchidaceae,Epidendrum,monteverdense,,,(Pupulin & Hgsater) Hgsater,(Pupulin & Hgsater) Hgsater
Plantaginaceae,Globularia,montiberica,,,G.Lpez,G.Lpez
Orchidaceae,Ophrys,montis-angeli,,,O.Danesch & E.Danesch,O.Danesch & E.Danesch
Juncaceae,Juncus,montserratensis,,,Marcet,Marcet
Amaryllidaceae,Narcissus,montserratii,,,Fern.Casas & Rivas Ponce,Fern.Casas & Rivas Ponce
Lamiaceae,Sideritis,montserratii,,,D.Rivera & Obn,D.Rivera & Obn
Plantaginaceae,Antirrhinum,montserratii,,,Molero & Romo,Molero & Romo
Sarraceniaceae,Sarracenia,mooreana,,,H.J. Veitch,H.J. Veitch
Apiaceae,Apium,moorei,,,(Syme) Druce,(Syme) Druce
Arecaceae,Bactris,moorei,,,Wess.Boer,Wess.Boer
Equisetaceae,Equisetum,moorei,,,Newman,Newman
Cyatheaceae,Cyathea,moralesiana,,,A. Rojas,A. Rojas
Lamiaceae,Thymus,moralesii,,,Mateo & M.B.Crespo,Mateo & M.B.Crespo
Orchidaceae,Ophrys,moreana,,,H.Baumann & Knkele,H.Baumann & Knkele
Fagaceae,Quercus,morehus,,,Kellogg,Kellogg
Fagaceae,Quercus,morisii,,,Borz,Borz
Compositae,Carduus,moritzii,,,Brgger,Brgger
Cyperaceae,Carex,moriyoshiensis,,,Fujiw. & Y.Matsuda,Fujiw. & Y.Matsuda
Bromeliaceae,Vriesea,morreniana,,,E.Morren,E.Morren
Rosaceae,Sorbus,motleyi,,,T.C.G.Rich,T.C.G.Rich
Fagaceae,Quercus,moultonensis,,,Ashe,Ashe
Lamiaceae,Thymus,mourae,,,Paiva & Salgueiro,Paiva & Salgueiro
Poaceae,Festuca,moyana,,,Erdner,Erdner
Poaceae,Elytrigia,mucronata,,,(Opiz ex Bercht.) Prokudin,(Opiz ex Bercht.) Prokudin
Poaceae,Elymus,mucronatus,,,(Opiz) Conert,(Opiz) Conert
Cyperaceae,Carex,mucronulata,,,Holmb.,Holmb.
Potamogetonaceae,Potamogeton,mucronulatus,,,(G.Fisch.) Papch.,(G.Fisch.) Papch.
Orchidaceae,Cattleya,mucugensis,,,(F.E.L.Miranda) Van den Berg,(F.E.L.Miranda) Van den Berg
Cyperaceae,Carex,muelleriana,,,F.W.Schultz,F.W.Schultz
Lamiaceae,Phlomis,muglensis,,,Hub.-Mor.,Hub.-Mor.
Lamiaceae,Teucrium,mugronense,,,"P.P.Ferrer, Rosell, Gmez Nav. & Guara","P.P.Ferrer, Rosell, Gmez Nav. & Guara"
Orchidaceae,Ophrys,mulierum,,,H.Baumann & Knkele,H.Baumann & Knkele
Convolvulaceae,Ipomoea,multifida,,,(Raf.) Shinners,(Raf.) Shinners
Magnoliaceae,Magnolia,multiflora,,,M.C.Wang & C.L.Min,M.C.Wang & C.L.Min
Rosaceae,Spiraea,multiflora,,,Zabel,Zabel
Poaceae,Leymus,multiflorus,,,(Gould) Barkworth & R.J.Atkins,(Gould) Barkworth & R.J.Atkins
Cycadaceae,Cycas,multifrondis,,,D.Y.Wang,D.Y.Wang
Cactaceae,Cylindropuntia,multigeniculata,,,(Clokey) Backeb.,(Clokey) Backeb.
Poaceae,Poa,multnomae,,,Piper,Piper
Orchidaceae,Oncidium,mulus,,,(Rchb.f.) M.W.Chase & N.H.Williams,(Rchb.f.) M.W.Chase & N.H.Williams
Myrtaceae,Eucalyptus,mundijongensis,,,Maiden,Maiden
Lamiaceae,Congea,munirii,,,Moldenke,Moldenke
Fagaceae,Quercus,munzii,,,Tucker,Tucker
Compositae,Crepidiastrum,muratagenii,,,H.Ohashi & K. Ohashi,H.Ohashi & K. Ohashi
Campanulaceae,Edraianthus,murbeckii,,,Wettst.,Wettst.
Juncaceae,Juncus,murbeckii,,,Sagorski,Sagorski
Poaceae,Agrostis,murbeckii,,,Fouill.,Fouill.
Polygonaceae,Rumex,muretii,,,Hausskn.,Hausskn.
Myrtaceae,Eucalyptus,murphyi,,,Maiden & Blakely,Maiden & Blakely
Betulaceae,Betula,murrayana,,,B.V.Barnes & Dancik,B.V.Barnes & Dancik
Pinaceae,Pinus,murraybanksiana,,,Righter & Stockw.,Righter & Stockw.
Orchidaceae,Oncidium,murrellianum,,,(Rchb.f.) M.W.Chase & N.H.Williams,(Rchb.f.) M.W.Chase & N.H.Williams
Campanulaceae,Campanula,murrii,,,Dalla Torre & Sarnth.,Dalla Torre & Sarnth.
Cyperaceae,Carex,musashiensis,,,Ohwi,Ohwi
Cyperaceae,Carex,musei,,,Steud.,Steud.
Rubiaceae,Galium,mutabile,,,Besser,Besser
Fagaceae,Quercus,mutabilis,,,E.J.Palmer & Steyerm.,E.J.Palmer & Steyerm.
Sapindaceae,Aesculus,mutabilis,,,(Spach) Scheele,(Spach) Scheele
Verbenaceae,Lantana,mutabilis,,,Weigel,Weigel
Orchidaceae,Masdevallia,mystica,,,Luer,Luer
Potamogetonaceae,Potamogeton,mysticus,,,Morong,Morong
Compositae,Crepidiastrum,nakaii,,,H.Ohashi & K. Ohashi,H.Ohashi & K. Ohashi
Poaceae,Agropyron,nakashimae,,,Ohwi,Ohwi
Rosaceae,Stephanandra,nakatsu-riparia,,,Hid.Takah.,Hid.Takah.
Ranunculaceae,Aconitum,nanum,,,(Baumg.) Simonk.,(Baumg.) Simonk.
Poaceae,Festuca,napocae,,,Prodn,Prodn
Lamiaceae,Salvia,nariniensis,,,Fern.Alonso,Fern.Alonso
Annonaceae,Asimina,nashii,,,Kral,Kral
Salicaceae,Salix,nasuensis,,,Kimura,Kimura
Euphorbiaceae,Euphorbia,navae,,,Svent.,Svent.
Lamiaceae,Teucrium,navarroi,,,"Snchez-Gmez, Gemes, A.F.Carrillo, Coy & A.Hern.","Snchez-Gmez, Gemes, A.F.Carrillo, Coy & A.Hern."
Pinaceae,Pinus,naxiorum,,,Businsk,Businsk
Thymelaeaceae,Daphne,neapolitana,,,Lodd.,Lodd.
Polygonaceae,Eriogonum,nebraskense,,,Rydb.,Rydb.
Lamiaceae,Origanum,nebrodense,,,Tineo ex Lojac.,Tineo ex Lojac.
Orchidaceae,Diuris,nebulosa,,,D.L.Jones,D.L.Jones
Fagaceae,Castanea,neglecta,,,Dode,Dode
Nepenthaceae,Nepenthes,neglecta,,,Macfarl.,Macfarl.
Rosaceae,Amelanchier,neglecta,,,Eggl. ex G.N.Jones,Eggl. ex G.N.Jones
Rubiaceae,Coprosma,neglecta,,,Cheeseman,Cheeseman
Sapindaceae,Aesculus,neglecta,,,Lindl.,Lindl.
Rubiaceae,Galium,neglectum,,,Le Gall ex Gren. & Godr.,Le Gall ex Gren. & Godr.
Rosaceae,Rubus,neglectus,,,Peck,Peck
Pinaceae,Pinus,neilreichiana,,,Reichardt,Reichardt
Iridaceae,Iris,nelsonii,,,Randolph,Randolph
Orchidaceae,Ophrys,nelsonii,,,Contr & Delamain,Contr & Delamain
Equisetaceae,Equisetum,nelsonii,,,(A.A. Eaton) J.H. Schaffn.,(A.A. Eaton) J.H. Schaffn.
Poaceae,Poa,nematophylla,,,Rydb.,Rydb.
Cactaceae,Cylindropuntia,neoarbuscula,,,(Griffiths) F.M.Knuth,(Griffiths) F.M.Knuth
Rosaceae,Crataegus,neobaxteri,,,Sarg.,Sarg.
Cyperaceae,Carex,neobigelowii,,,Lepage,Lepage
Orchidaceae,Cattleya,neocalimaniana,,,Van den Berg,Van den Berg
Orchidaceae,Cattleya,neocalimaniorum,,,Van den Berg,Van den Berg
Cyperaceae,Carex,neofilipendula,,,Lepage,Lepage
Rosaceae,Rubus,neogardicus,,,Juz.,Juz.
Compositae,Tragopogon,neohybridus,,,Farw.,Farw.
Fagaceae,Quercus,neomairei,,,A.Camus,A.Camus
Amaranthaceae,Atriplex,neomexicana,,,Standl.,Standl.
Cyperaceae,Carex,neomiliaris,,,Lepage,Lepage
Fagaceae,Quercus,neopalmeri,,,Sudw.,Sudw.
Orchidaceae,Cattleya,neoreginae,,,Van den Berg,Van den Berg
Cyperaceae,Carex,neorigida,,,Lepage,Lepage
Orchidaceae,Ophrys,neoruppertii,,,A.Camus ex Ruppert,A.Camus ex Ruppert
Fagaceae,Quercus,neotharpii,,,A.Camus,A.Camus
Myrtaceae,Eucalyptus,nepeanensis,,,R.T.Baker & H.G.Sm.,R.T.Baker & H.G.Sm.
Potamogetonaceae,Potamogeton,nericius,,,Hagstr.,Hagstr.
Potamogetonaceae,Potamogeton,nerviger,,,Wolfg.,Wolfg.
Orchidaceae,Cattleya,nesyana,,,(Campacci & Deusvando) J.M.H.Shaw,(Campacci & Deusvando) J.M.H.Shaw
Plumbaginaceae,Limonium,neumanii,,,C.E.Salmon,C.E.Salmon
Poaceae,Deschampsia,neumanniana,,,(Drfl.) Hyl.,(Drfl.) Hyl.
Lamiaceae,Scutellaria,neumannii,,,H.Melzer & Bregant,H.Melzer & Bregant
Iridaceae,Iris,neumayeri,,,Janch. ex Holub,Janch. ex Holub
Compositae,Solidago,neurolepis,,,Fernald,Fernald
Orchidaceae,Dactylorhiza,nevskii,,,H.Baumann & Knkele,H.Baumann & Knkele
Poaceae,Spartina,neyrautii,,,Foucaud,Foucaud
Lamiaceae,Scutellaria,nicholsonii,,,Taub.,Taub.
Heliconiaceae,Heliconia,nickeriensis,,,Maas & de Rooij,Maas & de Rooij
Cyperaceae,Carex,nicoloffii,,,Pamp.,Pamp.
Orchidaceae,Epipactis,nicolosii,,,M.P.Grasso & Grillo,M.P.Grasso & Grillo
Bromeliaceae,Tillandsia,nidus,,,Rauh & C.O.Lehm.,Rauh & C.O.Lehm.
Orchidaceae,Lycaste,niesseniae,,,Oakeley,Oakeley
Cistaceae,Cistus,nigricans,,,Pourr.,Pourr.
Cyperaceae,Carex,nikaii,,,T.Koyama,T.Koyama
